method,subtask,metric,mean,std,ci95_lo,ci95_hi,n_seeds,seed_list
GRPO,QED,sr_x_sim,0.069897,0.010483,0.043854,0.095940,3,"42,123,456"
GRPO,QED,success_rate,0.077933,0.013614,0.044112,0.111754,3,"42,123,456"
GRPO,QED,successful_optimizations,389.666667,68.068593,220.561261,558.772073,3,"42,123,456"
GRPO,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
GRPO,QED,valid_molecules,3573.666667,122.785721,3268.625408,3878.707925,3,"42,123,456"
GRPO,QED,validity,0.714733,0.024557,0.653725,0.775742,3,"42,123,456"
RePO,LogP,similarity,0.792465,0.003926,0.782713,0.802218,3,"42,123,456"
RePO,LogP,sr_x_sim,0.187657,0.013166,0.154947,0.220366,3,"42,123,456"
RePO,LogP,success_rate,0.236800,0.016586,0.195596,0.278004,3,"42,123,456"
RePO,LogP,successful_optimizations,1184.000000,82.927679,977.979598,1390.020402,3,"42,123,456"
RePO,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,LogP,valid_molecules,3169.000000,243.181003,2564.856144,3773.143856,3,"42,123,456"
RePO,LogP,validity,0.633800,0.048636,0.512971,0.754629,3,"42,123,456"
RePO,MR,similarity,0.853411,0.010008,0.828547,0.878275,3,"42,123,456"
RePO,MR,sr_x_sim,0.185962,0.015422,0.147649,0.224275,3,"42,123,456"
RePO,MR,success_rate,0.218067,0.020723,0.166583,0.269550,3,"42,123,456"
RePO,MR,successful_optimizations,1090.333333,103.616279,832.915452,1347.751215,3,"42,123,456"
RePO,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,MR,valid_molecules,3297.666667,111.804890,3019.905508,3575.427826,3,"42,123,456"
RePO,MR,validity,0.659533,0.022361,0.603981,0.715086,3,"42,123,456"
RePO,QED,similarity,0.838316,0.005125,0.825584,0.851048,3,"42,123,456"
RePO,QED,sr_x_sim,0.125837,0.005711,0.111649,0.140025,3,"42,123,456"
RePO,QED,success_rate,0.150133,0.007564,0.131342,0.168925,3,"42,123,456"
RePO,QED,successful_optimizations,750.666667,37.819748,656.709622,844.623711,3,"42,123,456"
RePO,QED,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO,QED,valid_molecules,3340.000000,180.831413,2890.753611,3789.246389,3,"42,123,456"
RePO,QED,validity,0.668000,0.036166,0.578151,0.757849,3,"42,123,456"
RePO-Hard,LogP,similarity,0.885904,0.041888,0.781840,0.989967,3,"42,123,456"
RePO-Hard,LogP,sr_x_sim,0.106055,0.015391,0.067819,0.144291,3,"42,123,456"
RePO-Hard,LogP,success_rate,0.120400,0.023132,0.062933,0.177867,3,"42,123,456"
RePO-Hard,LogP,successful_optimizations,602.000000,115.658981,314.663973,889.336027,3,"42,123,456"
RePO-Hard,LogP,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,LogP,valid_molecules,2737.333333,479.022268,1547.280010,3927.386657,3,"42,123,456"
RePO-Hard,LogP,validity,0.547467,0.095804,0.309456,0.785477,3,"42,123,456"
RePO-Hard,MR,similarity,0.925696,0.036219,0.835717,1.015675,3,"42,123,456"
RePO-Hard,MR,sr_x_sim,0.074214,0.015388,0.035985,0.112443,3,"42,123,456"
RePO-Hard,MR,success_rate,0.080667,0.019969,0.031056,0.130277,3,"42,123,456"
RePO-Hard,MR,successful_optimizations,403.333333,99.846549,155.280737,651.385930,3,"42,123,456"
RePO-Hard,MR,total_molecules,5000.000000,0.000000,5000.000000,5000.000000,3,"42,123,456"
RePO-Hard,MR,valid_molecules,3111.666667,448.152132,1998.305202,4225.028131,3,"42,123,456"
RePO-Hard,MR,validity,0.622333,0.089630,0.399661,0.845006,3,"42,123,456"
RePO-Hard,QED,similarity,0.929887,0.032858,0.848258,1.011517,3,"42,123,456"
